" The customer doesn\'t exist in the system anymore","Покупатель более не зарегистрирован в системе"
" and "," и "
"(Absolute path or Relative to Magento install root, ex. var/export)","(абсолютный или относительный путь к корневой установке Magento, напр. var/export)"
"(For US 2-letter state names)","(Для двухбуквенных названий штатов США)"
"(If left empty will be auto-generated)","(Если оставить пустыми будут сгенерировано автоматически)"
"(Leave empty for first spreadsheet)","(Оставьте пустым для первой таблицы)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Товар будет добавлен/обновлен для этого магазина, если столбец 'магазин' пустой или пропущен в файле импорта.)"
"(Shift-)Click or drag to change value","(Shift-)Кликните или тяните для изменения значения"
"(Starting with)","(Начиная с)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Если выбрано 'Нет', будут импортированы только mapped поля. Когда мэппируете, используйте 'стоолбец1', 'столбец2 'и т.д.)"
"(You have to increase php memory_limit before changing this value)","(Необходимо увеличить  php memory_limit перед изменением этого значения)"
"(\\t for tab)","(\\t для tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - если происходит индексация, она будет остановлена и начата сначала"
"- Click on any of the time parts to increase it","- Кликните на любой цифре, чтобы изменить их"
"- Hold mouse button on any of the above buttons for faster selection.","- Для быстрого выделения держите кнопки мыши нажатыми над кнопками выше"
"- Use the %s buttons to select month","- Используйте кнопки %s  для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s  чтобы выбрать год"
"- or Shift-click to decrease it","- или Shift-клик для уменьшения"
"- or click and drag for faster selection.","- или нажмите и тяните для быстрого выделения."
"-- Please Select --","-- Выберите --"
"-- Please select --","-- Выберите --"
"-- Please select a category --","-- Выберите категорию --"
"--Please Select--","-- Выберите --"
"1 Hour","1 час"
"12 Hours","12 Часов"
"2 Hours","2 Часа"
"24 Hours","24 Часа"
"2YTD","2 Года"
"6 Hours","6 Часов"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Ошибка 404r</h1><p>Страница не найдена</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Доступ запрещен</h1><p>Доступ запрещен.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Новый пароль был отправлен на ваш e-mail. Проверьте сообщения и нажмите «Назад» для входа в систему."
"API Stability","Стабильное API"
"API Version","Версия API"
"API:","API:"
"About the calendar","О календаре"
"Access Denied.","Доступ запрещен"
"Access Deny","Доступ запрещен"
"Account Created in:","Аккаунт создан:"
"Account Created on (%s):","Аккаунт создан (%s):"
"Account Created on:","Аккаунт создан:"
"Account Information","Информация об аккаунте"
"Account status","Состояние учетной записи"
"Account successfully saved","Учетная запись успешно сохранена"
"Action","Действие"
"Actions","Действия"
"Actions XML","XML действия"
"Active","Активен"
"Add","Добавить"
"Add Contents Path","Добавить путь к оглавлению"
"Add Exception","Добавить исключение"
"Add Field Mapping","Добавить мэппинг поля"
"Add Field with URL:","Добавить поле с URL"
"Add Maintainer","Добавить ведущего"
"Add New Image","Добавить новое изображение"
"Add New Profile","Добавить новый профиль"
"Add New Role","Добавить новую роль"
"Add New Template","Добавить новый шаблон"
"Add New Urlrewrite","Добавить новое правило url"
"Add New User","Добавить нового пользователя"
"Add New osCommerce Profile","Добавить новый профиль osCommerce"
"Add PHP Extension dependency","Добавить зависимость PHP расширение"
"Add Package dependency","Добавить зависимость пакета"
"Add Subpackage dependency","Добавить зависимость подпакета"
"Add Urlrewrite","Добавить Urlrewrite"
"Add Urlrewrite for a Category","Добавить Urlrewrite для категории"
"Add Urlrewrite for a Product","Добавить Urlrewrite для продукта"
"Add after","Добавить после"
"Add new Role","Добавить новую роль"
"Address Type:","Тип адреса:"
"Admin","Админ"
"Advanced Admin Section","Расширенный раздел Admin"
"Advanced Profiles","Расширенные профили"
"Advanced Section","Расширенный раздел"
"Aggregate Order","Совокупный заказ"
"All","Все"
"All Allowed Countries","Все разрешенные страны"
"All Cache","Весь кэш"
"All Files","Все файлы"
"All Store Views","Все виды магазинов"
"All Tags","Все тэги"
"All Websites","Все сайты"
"All countries","Все страны"
"All fields","Все поля"
