" and "," и "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Абсолютный или относительный путь к корневому каталогу Magento, напр. var/export)"
"(For US 2-letter state names)","(Для 2-х буквенных названий штатов США)"
"(If left empty will be auto-generated)","(Будет сгенерирован автоматически, если оставлен незаполненным)"
"(Leave empty for first spreadsheet)","(Оставьте пустым для первой таблицы)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Товары будут добавляться/изменяться в этом магазине, если поле 'store' отсутствует или пусто в файле импорта)"
"(Shift-)Click or drag to change value","(Shift-)Кликните или тяните для изменения значения"
"(Starting with)","(Начинается с)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Если 'No', только привязанные поля будут импортированы. Используйте 'column1', 'column2' и т.д. При меппировании)"
"(You have to increase php memory_limit before changing this value)","(Необходимо увеличить php memory_limit перед изменением этого значения)"
"(\\t for tab)","(\\t для tab)"
"- Click on any of the time parts to increase it","- Кликните на любой цифре, чтобы изменить их"
"- Hold mouse button on any of the above buttons for faster selection.","- Для быстрого выделения держите кнопки мыши нажатыми над кнопками выше"
"- Use the %s buttons to select month","- Используйте кнопки %s  для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s  чтобы выбрать год"
"- or Shift-click to decrease it","- или Shift-клик для уменьшения"
"- or click and drag for faster selection.","- или нажмите и тяните для быстрого выделения."
"API:","API:"
"About the calendar","О календаре"
"Access Denied.","Доступ запрещен."
"Account Created in:","Аккаунт создан в:"
"Account Created on (%s):","Аккаунт создан (%s):"
"Account Created on:","Аккаунт создан:"
"Action","Действие"
"Actions","Действия"
"Add Contents Path","Добавить путь к оглавлению"
"Add Field with URL:","Добавить поле с URL:"
"Add Maintainer","Добавить ведущего"
"Add New Role","Добавить новую роль"
"Add New Template","Добавить новый шаблон"
"Add New User","Добавить нового пользователя"
"Add PHP Extension dependency","Добавить зависимость PHP расширение"
"Add Package dependency","Добавить зависимость пакета"
"Add Subpackage dependency","Добавить зависимость подпакета"
"Address Type:","Тип адреса:"
"All","Все"
"All Websites","Все веб-сайты"
"All fields","Все поля"
"Archive file name:","Имя архива:"
"Are you sure that you want to delete this template?","Уверены что хотите удалить этот шаблон?"
"Are you sure that you want to strip tags?","Вы уверены, что хотите вырезать тэги?"
"Attribute Set Name:","Имя набора атрибутов:"
"Attributes","Атрибуты"
"Available Products","Доступные продукты"
"Big Image","Большое изображение"
"Billing Address","Адрес регистрации"
"Bundle Items","Состав набора"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Набор с динамической ценой не может включать нестандартно определенные опции. Опции не будут сохранены."
"CSV / Tab separated","CSV / Tab разделенный "
"Card Verification Number","Проверочный номер карты (CVC2)"
"Catalog","Каталог"
"Channel","Канал"
"Channel:","Канал:"
"Choose Store View","Выбрать вид магазина"
