"--Select--","--Выбрать--"
"Add New Option","Добавить новый параметр"
"Add Selection","Добавить набор"
"As low as","Так низко как"
"Bundle Items","Добавить в пакет"
"Bundle Product","Добавить в пакет"
"Buy %1$s with %2$s discount each","Купить %1$s со %2$s скидкой каждый"
"Checkbox","Галочка"
"Choose a selection...","Выбрать набор..."
"Close","Закрыть"
"Default","По-умолчанию"
"Default Qty","Кол-во по-умолчанию"
"Default Title","Название по-умолчанию"
"Drop-down","Выпадающий список"
"Dynamic","Динамичный"
"Excl. Tax","Без налогов"
"Fixed","Фиксированный"
"From","От"
"From:","От:"
"Gift Message","Сообщение"
"Incl. Tax","С налогами"
"Input Type","Тип"
"Is Required","Обязательный"
"Message:","Сообщение:"
"Multiple Select","Множественная выборка"
"N/A","Отсутствует"
"No options of this product are available.","Для данного товара нет параметров."
"None","Нет"
"Percent","Процент"
"Percent Discount","Скидка в процентах"
"Please enter search conditions to view products.","Введите критерии поиска для товара."
"Please select options for product.","Введите параметры для товара."
"Please select products to add","Выберите товары для добавления"
"Please specify product option(s)","Укажите параметры товара"
"Position","Позиция"
"Price Range","Диапазон цен"
"Price Type","Тип цены"
"Price as configured","Назначенная цена"
"Qty:","Кол-во:"
"Radio Buttons","Радио-кнопки"
"Required options not selected.","Обязательные параметры не выбраны."
"Selected required options not available.","Выбранные параметры недоступны."
"Separately","Отдельно"
"Ship Bundle Items","Доставка набора"
"Shipment","Доставка"
"Store View Title","Название в магазине"
"There is no defined renderer for ""%s"" option type","Для типа параметров ""%s"" нет отображения"
"This product is also part of bundle(s)","Товар входит в набор(ы)"
"To","Куда"
"To:","Куда:"
"Together","Вместе"
"User Defined Qty","Кол-во, определённое покупателем"
