"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налоги"
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"(Copy data from: %s)","(копировать данные из: %s)"
"(Will make search for the query above return results for this search.)","(будет ли поиск по запросу выше возвращать результаты по этому поисковому запросу.)"
"* Required Fields","* Обязательные поля"
"-- Please Select --","-- Выбирайте --"
"A name is required","Требуется имя"
"ALL GROUPS","Все группы"
"Action","Действие"
"Add Attribute","Добавить атрибут"
"Add Design Change","Добавить изменения дизайна"
"Add Group","Добавить группу"
"Add Items to Cart","Добавить товары в корзину"
"Add New","Добавить новый"
"Add New Attribute","Добавить новый атрибут"
"Add New Attribute Set","Добавьте новый набор атрибутов"
"Add New Group","Добавить новую группу"
"Add New Images","Добавить новые изображения"
"Add New Option","Добавить новый вариант"
"Add New Row","Добавить новую строку"
"Add New Search Term","Добавить новое поисковое выражение"
"Add New Set","Добавить новый набор"
"Add Option","Добавить вариант"
"Add Product","Добавить товар"
"Add Product To Websites","Добавить товар на сайты"
"Add Root Category","Добавить категорию"
"Add Subcategory","Добавить подкатегорию"
"Add Tax","Добавить налог"
"Add Tier","Добавить уровень"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить для сравнения"
"Add to My Wishlist","Добавить в список отмеченных"
"Add to Wishlist","Добавить в хотелку"
"Additional Information","Дополнительная информация"
"All","Все"
"All Product Types","Все типы товаров"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Все товары этого набора будут удалены! Вы уверены, что хотите удалить этот набор аттрибутов?"
"Apply To","Применить к"
"Apply To Configurable/Grouped Product","Применить к настраиваемым/группированым товарам"
"Approved","Одобрено"
"Are you sure you want to delete this category?","Вы уверены, что хотите удалить этот раздел?"
"Are you sure you would like to remove all item from compare products?","Вы уверены, что хотите очистить список товаров для сравнения?"
"Are you sure you would like to remove this item from the compare products?","Вы уверены, что хотите удалить этот товар из списка для сравнения?"
"Are you sure?","Вы уверены?"
"As low as:","Так мало как:"
"Assign","Устанавлено"
"Assign product link","Назначить ссылку товара"
"Assign product to category","Указать категорию для товара"
"Assigned Products","Назначенные товары"
"Associated Products","Ассоциированные товары"
"Attrib. Set Name","Имя набора"
"Attribute Code","Код атрибута"
"Attribute Information","Атрибут информации"
"Attribute Label","Ярлык атрибута"
"Attribute Model","Модель атрибута"
"Attribute Name:","Название атрибута:"
"Attribute Properties","Свойства атрибута"
"Attribute Set","Набор аттрибутов"
"Attribute group with the \"/name/\" name already exists","Группа аттрибутов ""/name/"" уже существует"
"Attribute model not defined","Модель атрибута не определена"
"Attribute with the same code already exists","Атрибут с тем же кодом уже существует"
"Attributes","Атрибуты"
"Attrribute names can be specified per store.","Названия аттрибутов могут быть указаны для магазина."
"Autogenerate","Автогенерация"
"Availability","Доступность"
"Availability: In stock.","Доступность: на складе."
"Availability: Out of stock.","Доступность: товара нет."
"Back","Назад"
"Backend Model","Backend модель"
"Backend Table","Backend таблица"
"Backend Table Title","Название Backend таблицы"
"Backorders","Задолженные заказы"
"Base directory to upload image file is not specified","Базовый каталог для загрузки файла изображения не указан"
"Based On","Основано на"
"Best Value","Лучшая оценка"
"Block after Info Column","Блок после информационной колонки"
"Bottom/Left","Низ/лево"
"Bottom/Right","Низ/право"
"Browse By","Просмотр"
"Buy %1$s for %2$s","Купить %1$s по %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Купить %1$s по %2$s (%3$s вкл. налоги) каждый"
"Buy %1$s for %2$s each","Купить %1$s по %2$s каждый"
"Can be used only with catalog input type Dropdown","Может быть использовано только с типом 'выпадающий список'"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Может быть использовано только с типом 'выпадающий список', 'множественный выбор' и 'цена'"
"Can\'t create image.","Иллюстрация не создана."
"Cart Item Attribute","Атрибут единицы корзины"
"Catalog","Каталог"
"Catalog Input Type for Store Owner","Тип ввода каталога для владельца магазина"
"Catalog Price Scope","Диапазон цен каталога"
"Catalog Section","Раздел каталога"
"Catalog, Search","Каталог, поиск"
"Categories","Разделы"
"Categories Sitemap","Карта разделов"
"Category","Раздел"
"Category API","API разделов"
"Category Data","Данные раздела"
"Category Navigation:","Навигация по разделу:"
"Category Products","Товары раздела"
"Category Top Navigation","Верхняя навигация разделов"
"Category URL Suffix","URL суффикс разделов"
"Category attributes API","API аттрибутов разделов"
"Category delete error","Ошибка удаления раздела"
"Category deleted","Раздел удален"
"Category move error","Ошибка перемещения раздела"
"Category must be instance of Mage_Catalog_Model_Category","Раздел должен быть экземпляром класса Mage_Catalog_Model_Category"
"Category saved","Раздел сохранен"
"Change","Изменения"
"Change or Retrieve attribute store view","Изменить/получить вид аттрибута"
"Change status","Изменить статус"
"Check items to add to the cart or","Проверить товары для добавления в корзину или"
"Choose an Option...","Выберите один вариант ..."
"Choose option...","Выберите опцию ..."
"Clear All","Очистить все"
"Clear All Items","Очистить список"
"Close Window","Закрыть окно"
"Collapse All","Свернуть все"
"Comparable","Сравниваемый"
"Comparable on Front-end","Сравнимый на сайте"
"Compare Items","Сравнение товаров"
"Compare Products","Сравнение товаров"
"Compare Products - %d Items","Сравнение товаров -%d шт."
"Compare Products List","Сравнить список товаров"
"Compare list successfully cleared","Список для сравнения очищен"
"Conditions Combination","Наборы условий"
"Configurable Product","Настраиваемый товар"
"Configurable Product Settings","Настройки конфигурируемых товаров"
"Continue","Продолжить"
"Copy From Configurable","Копировать из настраиваемых"
"Country/State","Страна/область"
"Create","Создать"
"Create (Upload)","Создать (Загрузить)"
"Create Empty","Создать пустым"
"Create Product Settings","Создание настроек товара"
"Create Simple Associated Product","Создать простой ассоциированный товар"
"Create new category","Создать новый раздел"
"Create new product","Создать новый товар"
"Cross-sells","Кросс-продажи"
"Currently Shopping by","Просмотр товаров по"
"Custom Design","Настраиваемый дизайна"
"Custom Options","Настраиваемые варианты"
"Customer Group","Группа покупателей"
"Customers Reviews","Отзывы пользователей"
"Customers Tagged Product","Товар, отмеченный пользователями"
"Customers for alert %s was successfuly added to queue","Пользователи были успешно добавлены в очередь для оповещения %s"
"Data Type for Saving in Database","Тип данных для сохранение в базе данных"
"Date","Дата"
"Date Subscribed","Дата подписки"
"Datetime","Дата и время"
"Decimal","Десятичный"
