"%s and greater","%s и более"
"Advanced Search","Advanced Search"
"All","All"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Сгенерированная карта сайта"
"Catalog Advanced Search","Расширенный поиск по каталогу"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Home","Home"
"List","List"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modify your search"
"Name","Name"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Популярные поисковые запросы"
"Popular search terms","Популярные поисковые запросы"
"Price","Price"
"Relevance","Relevance"
"Required Fields","Обязательные поля"
"Results","Results"
"Search","Search"
"Search Settings","Настройки поиска"
"Search Site","Поиск по сайту"
"Search Terms","Search Terms"
"Search Type","Search Type"
"Search entire store here...","Search entire store here..."
"Search results for '%s'","Результаты поиска для '%s'"
"Search results for: '%s'","Результаты поиска для: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","There are no search terms available."
"Yes","Yes"
"You have to specify at least one search term","Вы должны указать по меньшей мере одно поисковое выражение"
"Your search returns no results.","Нет результатов по вашему запросу"
"up to %s","до %s"
