"%s was successfully added to your shopping cart.","Товар '%s' успешно добавлен в Вашу корзину."
"&laquo; Back to Billing Information","&laquo;назад к информации об оплате"
"&laquo; Back to Select Addresses","&laquo;назад к выбору адреса"
"&laquo; Back to Shopping Cart","&laquo;назад в корзину"
"* Required Fields","* Обязательные поля"
"Add New Address","Добавить новый адрес"
"Add New Condition","Добавить новое условие"
"Add to Cart","В корзину"
"Add to Compare","Добавить к сравнению"
"Add to Wishlist","Отметить товар"
"Address","Адрес"
"Address %s of %s","Адрес %s из %s"
"After adding a product redirect to shopping cart","Переход в корзину после добавления товара"
"Allow Guest Checkout","Разрешить заказ для незарегитсрированных посетителей сайта"
"Already registered?","Уже зарегистрированы?"
"An error occurred in the process of payment","В ходе оплаты произошла ошибка"
"Apply Coupon","Использовать сертификат"
"Are you sure you would like to remove this item from the shopping cart?","Вы уверены, что хотите удалить этот товар из корзины?"
"Back","Назад"
"Back to Shipping Information","Назад к информации о доставке"
"Based on your selection, you may be interested in the following items:","Вы можете быть заинтересованы в следующих товарах:"
"Billing Address","Платёжный адрес"
"Billing Information","Информация об оплате"
"Billing Information - %s","Информация об оплате - %s"
"Can not add item to shopping cart","Не удается добавить товар в корзину"
"Can not apply coupon code.","Не удается использовать код сертификата."
"Can\'t open overview page","Страница описания не открывается"
"Cancel Coupon","Отменить сертификат"
"Cannot remove item","Не удается удалить товар"
"Cannot update shopping cart","Не удается обновить корзину"
"Card Verification Number Visual Reference","Информация о виде проверочного кода на карте"
"Cart Subtotal:","Итоговая сумма корзины:"
"Change","Изменить"
"Change Billing Address","Изменить адрес оплаты"
"Checkbox text","Текст для галочки"
"Checkout","Оформление заказа"
"Checkout Conditions","Условия заказа"
"Checkout Options","Варианты оформления"
"Checkout Section","Раздел заказа"
"Checkout Terms and Conditions","Соглашение о заказе"
"Checkout as Guest","Оформить заказ без регистрации"
"Checkout as a Guest or Register","Оформить заказ без регистрации или зарегистрироваться"
"Checkout method","Метод оформления заказа"
"Checkout with Multiple Addresses","Оформить заказ на несколько адресов"
"City","Город"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Нажмите <a href=""%s"" onclick=""this.target=\'_blank\'"">здесь для распечатки</a> копии подтверждения Вашего заказа."
"Close","Закрыть"
"Company","Компания"
"Condition Name","Название условия"
"Condition was successfully deleted","Условие было успешно удалено"
"Condition was successfully saved","Условие было успешно сохранено"
