"(eg: domain.com/identifier)","(например: domain.com/identifier)"
"Action","Действие"
"Add New Block","Добавить новый блок"
"Add New Page","Добавить новую страницу"
"All countries","Все страны"
"Block Information","Информация о блоке"
"Block Title","Название блока"
"Block was successfully deleted","Блок был успешно удалён"
"Block was successfully saved","Блок был успешно сохранён"
"CMS","CMS"
"CMS Home Page","В начало CMS"
"CMS No Route Page","CMS No Route Page"
"Content","Содержание"
"Custom Design","Настройка дизайна"
"Custom Theme","Настройка темы"
"Custom Theme From","Другая тема c"
"Custom Theme To","Другая тема до"
"Customer Tax Class Information","Информация о налогах для покупателя"
"Date Created","Дата создания"
"Delete Block","Удалить блок"
"Delete Page","Удалить страницу"
"Description","Описание"
"Disabled","Выкючено"
"Edit Block","Редактировать блок"
"Edit Block '%s'","Редактировать блок '%s'"
"Edit Page","Редактировать страницу"
"Edit Page '%s'","Редактировать страницу '%s'"
"Enabled","Вкючено"
"General Information","Общая информация"
"Go to Home Page","Перейти на главную страницу"
"Home","Главная страница"
"Identifier","Идентификатор"
"Keywords","Ключевые слова"
"Last Modified","Последнее изменение"
"Layout","Шаблон"
"Layout Update XML","Обновить XML шаблона"
"Manage Pages","Управление страницами"
"Meta Data","Данные META"
"Meta Description","Описание META"
"Meta Keywords","Ключевые слова META"
"New Block","Новый блок"
"New Page","Новая страница"
"Page Identifier cannot consist only of numbers.","Идентификатор страницы не может состоять только из цифр."
"Page Identifier for specified store already exist.","Идентификатор страницы для указанного магазина уже существует."
"Page Information","Информация о странице"
"Page Status","Статус страницы"
"Page Title","Название страницы"
"Page was successfully deleted","Страница была успешно удалена"
"Page was successfully saved","Страница была успешно сохранена"
"Poll Manager","Управление опросами"
"Product Tax Class Information","Информация о налогах для продукта"
"SEF URL Identifier","Идентификатор для адресной строки (SEF URL)"
"Save Block","Сохранить блок"
"Save Page","Сохранить страницу"
"Show breadcrumbs for CMS pages","Показать ""хлебные крошки"""
"Static Blocks","Статичные блоки"
"Status","Статус"
"Store View","Магазин(ы)"
"Such a block identifier in selected store already exist.","Такой идентификатор блока уже существует в данном магазине."
"The page you are trying to save no longer exists","Не найдена страница, указанная для сохранения"
"This block no longer exists","Этот блок не существует"
"This page no longer exists","Эта страница не существует"
"Title","Название"
"Unable to find a block to delete","Не найден блок, указанный для удаления"
"Unable to find a page to delete","Не найдена страница, указанная для удаления"
