"Cron (Scheduled Tasks) - all the times are in minutes","Планировщик задач, время указано в минутах"
"Daily","Ежедневно"
"Failure history lifetime","Время жизни лога ошибок"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Для генерации правильных адресов во время работы задачи убедитесь, что установлены базовые адреса для безопасного и обычного соединений."
"Generate schedules every","Период создания расписания"
"History cleanup every","Время жизни журнала задач"
"Invalid callback: %s::%s does not exist","Неверный обратный вызов (callback): %s::%s не существует"
"Invalid model/method definition, expecting ""model/class::method"".","Неверное определение метода модели (model/method), ожидается ""model/class::method""."
"Missed if not run within","Пропустить, если не запускается"
"Monthly","Ежемесячно"
"No callbacks found","Обратные вызовы отсутствуют"
"Schedule ahead for","Досрочное задание задачи"
"Success history lifetime","Время жизни лога работы"
"Too late for the schedule","Расписание "
"Unable to save Cron expression","Невозможно сохранить команду запуска задачи"
"Unknown error","Неизвестная ошибка"
"Weekly","Еженедельно"
