"* Required Fields","* Обязательное поле"
"A new password was sent","Новый пароль был отправлен"
"Account Dashboard","Панель управления аккаунтом"
"Account Information","Информация об аккаунте"
"Account Sharing Options","Настройки разделения аккаунтов"
"Account information was successfully saved","Информация аккаунта была успешно сохранена"
"Action","Действие"
"Add New Address","Добавить новый адрес"
"Add New Customer","Добавить нового пользователя"
"Add New Customer Group","Добавить новую группу пользователей"
"Added From","Добавлено из"
"Additional Address Entries","Дополнительные параметры адреса"
"Address","Адрес"
"Address Book","Адресная книга"
"Address Information","Информация об адресе"
"Addresses","Адреса"
"Admin","Администратор"
"All","Все"
"All Store Views","Виды всех магазинов"
"All countries","Все страны"
"Always optional","Всегда опционально"
"Amount","Cумма"
"Approved","Утвержден"
"Are you sure that you want to remove this item?","Вы уверены, что хотите удалить этот пункт?"
"Are you sure you want to cancel adding of this address?","Вы уверены, что хотите отменить добавление этого адреса?"
"Are you sure you want to delete this address?","Вы уверены, что хотите удалить этот адрес?"
"Are you sure?","Вы уверены?"
"Array of Entity collections is expected","Должен быть указан массив коллекций"
"Assign a customer group","Назначить группу"
"Average Sale","Средние продажи"
"Back","Назад"
"Back to Login","Вернуться ко входу в систему"
"Bad request.","Неверный запрос."
"Bill to Name","Плательщк"
"Billing Information","Информация о плательщике"
"Bought From","Куплено из"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","При созданииаккаунта в нашем магазине вы сможете быстрее оформлять заказ, хранить несколько адресов доставки, просматривать и отслеживать заказы и многое другое."
"CSV","CSV"
"Can\'t save address","Невозможно сохранить адрес"
"Can\'t save customer","Невозможно сохранить покупателя"
"Can\'t share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Невозможно разделить учётные записи покупателя. Неокторые покупатели с одинкаовым адресом эд. почты существуют на разных сайтов и их невозможно объединить в одну учётную запись."
"Cancel","Отмена"
"Change Account Password","Изменить пароль учётной записи"
"Change Billing Address","Изменить адрес плательщика"
"Change Password","Измененить пароль"
"Change Shipping Address","Изменить адрес отправления"
"City","Город"
"Company","Компания"
"Config","Конфигурация"
"Confirm New Password","Подтвердите новый пароль"
"Confirm Password","Подтверждение пароля"
"Confirmation Link Email","E-mail для подтвержений"
"Confirmed","Подтвержден"
"Contact Information","Контактная информация"
"Continue Shopping","Вернуться в магазин"
"Country","Страна"
"Create","Создать"
"Create New Account Options","Опции создания нового аккаунта"
"Create New Customer Account","Создать новый пользовательский аккаунт"
"Create Order","Создание заказа"
"Create an Account","Создать аккаунт"
"Create customer","Создать покупателя"
"Create customer address","Создать адрес покупателя"
"Current Password","Текущий пароль"
"Customer","Покупатель"
"Customer Addresses","Адрес пользователя"
"Customer Api","Api покупателя"
"Customer Configuration","Настройки для пользователей"
"Customer Group","Группа покупателя"
"Customer Group was successfully deleted","Пользовательская группа была успешно удалена"
"Customer Group was successfully saved","Пользовательская группа была успешно сохранена"
"Customer Groups","Группы покупателей"
"Customer Information","Информация о пользователе"
"Customer Login","Вход в систему"
"Customer Since","Покупатель с "
"Customer View","Вид пользователя"
"Customer collection expected","Пропущена коллекция для пользователя"
"Customer doesn't have primary billing address","У пользователя нет основного платежного адреса"
"Customer email already exists","Email пользователя уже существует"
"Customer website id must be specified, when using website scope.","Для сайтов должен быть установлен ID покупателя."
"Customers","Покупатели"
"Customers Only","Только для пользователей"
"Customers Section","Раздел покупателей"
"DD","DD"
"Date","Дата"
"Date Added","Добавлен "
"Date of Birth","Дата рождения"
"Date of Birth is required.","необходима дата рождения"
"Day","День"
"Days in Wishlist","Дней в отмеченных товарах"
"Default Addresses","Адреса по умолчанию"
"Default Billing Address","Платежный адрес по умолчанию"
"Default Email Domain","Домен письма по умолчанию"
"Default Group","Группа по умолчанию"
"Default Shipping Address","Адрес доставки по умолчанию"
"Default Welcome Email","Письмо с приветствием по умолчанию"
"Delete","Удалить"
"Delete Address","Удалить адрес"
"Delete Customer","Удалить пользователя"
"Delete Customer Group","Удалить пользовательскую группу"
"Delete customer","Удалить покупателя"
"Delete customer address","Удалить адрес покупателя"
"Deleted Stores","Удаленные магазины"
"Details","Подробности"
"Disabled","Отменен"
"Edit","Редактировать"
"Edit Account Info","Редактировать информацию об аккаунте"
"Edit Account Information","Изменение учетной записи"
"Edit Address","Редактировать адрес"
"Edit Address Entry","Редактировать запись адреса"
"Edit Customer Group ""%s""","Редактировать группу пользователей ""%s"""
"Edit Customer Groups","Редактировать пользовательские группы"
"Edit Customer's Address","Редактировать адрес пользователя"
"Edit Group","Изменить группу"
"Edit Newsletter Subscription","Изменить подписку на новости"
"Edit Newsletters","Измененить новостные письма"
"Edit Personal Information","Изменить персональные данные"
"Email","Эл. почта"
"Email Address","Адрес эл. почты"
"Email Sender","Отправитель эл. почты"
"Entity collection is expected","Ожидается набор сущностей"
"Error during retrieval of option value: %s","ошибка при получении значения параметра: %s"
"Ext. Price","Расш. цена"
"Failed to confirm customer account.","Ошибка при подтверждении учётной записи пользователя."
"Fax","Факс"
"First Name","Имя"
"First name can\'t be empty","Имя не может быть пустым"
"Forgot Email Sender","Отправитель письма о забытом пароле"
"Forgot Email Template","Шаблон письма о забытом пароле"
"Forgot Your Password?","Забыли пароль?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","С помощью панели управления Вы можете просомтаривать или редактировать все связанные с Вашей учётной записью данные и отчёты. Перейдите по ссылке выше для просмотра или редактирования данных."
"General Subscription","Общая подписка"
"Global","Общие"
"Go to Address Book","Переход в адресную книгу"
"Grand Total","Всего"
"Grand Total: %s","Итоговая сумма: %s"
"Group","Группа"
"Group ""%s"" can not be deleted","Группа ""%s"" не может быть удалена"
"Group Information","Информация о группе"
"Group Name","Название группы"
"Guest","Гость (незарегистрированный пользователь)"
"HTML","HTML"
"Hello, %s!","Здравствуйте, %s!"
"ID","ID"
"IP Address","IP-адрес"
"If you have an account with us, please log in.","Если у Вас есть аккаунт в нашей системе, пожалуйста, войдите в него"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Неверный параметр для аттрибута %s (%s), пропуск записи"
"Invalid attribute set specified, skipping the record","Неверный набор аттрибутов, пропуск записи"
"Invalid current password","Неправильный текущий пароль"
"Invalid customer data","Неверные данные покупателя"
"Invalid email address","Неверный адрес эл. почты"
"Invalid email address ""%s""","Неверный адрес эл. почты ""%s"""
"Invalid login or password.","Неверный логин или пароль."
"Invalid option id specified for %s (%s), skipping the record","Неверный ID параметра %s (%s), пропуск записи"
"Invalid store specified, skipping the record","Указан неверный магазин, пропуск записи"
"Items Order","Заказ товаров"
"Last 5 Orders","Последние 5 заказов"
"Last Activity","Последняя активность"
"Last Name","Фамилия"
"Last Url","Последний URL"
"Last Viewed Items","Просмотренные товары"
"Last date subscribed","Последняя дата подписки"
"Last date unsubscribed","Последняя дата отмены подписки"
"Last name can\'t be empty","Фамилия должна быть указана"
"Leave empty for default (15 minutes).","Оставьте пустым для 15 минут."
"Leave empty for default (2). Valid range: 1-4","Оставьте пустым для значения по умолчанию (2). Корректный диапазон: 1-4"
"Lifetime Sales","Продажи за все время"
"Log In","Войти"
"Log Out","Выйти"
"Log in or Create an Account","Войти или создать учётную запись"
"Login","Логин"
"Login Information","Информация для входа в аккаунт"
"Login and password are required","Необходимо указать логин и пароль"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Управление адресами"
"Manage Customers","Управление пользователями"
"Missing email, skipping the record","Пропущен email, пропуск записи"
"Missing firstname, skipping the record","Пропущено имя, пропуск записи"
"Missing lastname, skipping the record","Пропущена фамилия, пропуск записи"
"Month","Месяц"
"My Account","Моя учётная запись"
"My Dashboard","Моя панель управления"
"My Orders","Мои заказы"
"My Reviews","Мои рецензии"
"My Tags","Мои тэги"
"My Wishlist","Моя хотелка"
"Name","Имя"
"Name and Address Options","Параметры для имени и адреса"
"Never","Никогда"
"New Address","Новый адрес"
"New Address Entry","Запись новыго адреса"
"New Customer","Новый пользователь"
"New Customer Address","Новый адрес пользователя"
"New Customer Group","Новая пользовательская группа"
"New Customer Groups","Новые пользовательские группы"
"New Customers","Новые пользователи"
"New Group","Новая группа"
"New Password","Новый пароль"
"New account","Новый аккаунт"
"New account confirmation key","Код подтвержения новой учётной записи"
"New account confirmed","Новая учётная запись подтверждена"
"New password","Новый пароль"
"Newsletter","Информационный бюллетень"
"Newsletter Finish","Конец письма"
"Newsletter Information","Информация о письме"
"Newsletter Received","Письмо получено"
"Newsletter Start","Начало письма"
"Newsletter Subscription","Подписки на информационный бюллетень"
"Newsletters","Информационные бюллетени"
"No Items Found","Элементы не обнаружены"
"No Newsletter Found","Информационных бюллетеней нет"
"No item specified.","Не указана запись."
"No product collections found","Не найдены наборы товаров"
"Not Sent","Не отправлено"
"Not confirmed, can login","Не подтверждён, можно входить в систему"
"Not confirmed, cannot login","Не подтверждён, нельзя входить в систему"
"Number of lines in a street address ","Число строк в адресе улицы "
