"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Ссылка</a>"
"Access denied to destination folder ""%s""","Доступ к папке ""%s"" запрещен"
"Could not load file: ""%s""","Невозможно загрузить файл: ""%s"""
"Could not save file: %s","Невозможно сохранить файл: %s"
"Declared adapter %s not found","Объявленный адаптер %s не найден"
"Destination folder ""%s"" does not exist or not access to create","Destination folder ""%s"" does not exist or not access to create"
"Destination folder ""%s"" is not a directory","Destination folder ""%s"" is not a directory"
"Destination folder ""%s"" is not a writeable","Destination folder ""%s"" is not a writeable"
"Done","Обработано"
"Dry run set, stopping execution","Dry run set, stopping execution"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Error field mapping! Fields list for mapping is not defined"
"Error occured during file opening: ""%s""","Error occured during file opening: ""%s"""
"File ""%s"" don\'t exist","Файл ""%s"" не существует"
"Found %d rows","Обнаружено %d рядов"
"Less than a minute","Менее чем за минуту"
"Loaded successfully: ""%s""","Успешно загружено: ""%s"""
"Memory Used: %s","Использовано памяти: %s"
"Method ""%s"" not defined in adapter %s","Метод ""%s"" не определен в адаптере %s"
"Please declare ""adapter"" and ""method"" node first","Please declare ""adapter"" and ""method"" node first"
"Processed records: %s","Обработано записей: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Успешно сохранено: ""%s"" [%d байт]"
"Sheet 1","Лист 1"
"Skip undefined row","Пропустить неопределенный ряд"
"Starting %s :: %s","Запуск %s :: %s"
"Total records: %s","Всего записей: %s"
"hour","час"
"hours","Часов"
"minute","минута"
"minutes","минут"
