"Add New Row","Добавить новую строку"
"An error occurred while saving the file(s).","При сохранении файла(ов) произошла ошибка."
"Availability: In stock.","Наличие: В наличии."
"Availability: Out of stock.","Наличие: Нет в наличии."
"Can\'t connect to remote host, error: %s","Невозможно соединиться с удаленным хостом, ошибка: %s"
"Canceled","Отменено"
"Date","Дата"
"Default Link Title","Заголовок ссылки по умолчанию"
"Default Maximum Number of Downloads","Максимально количество загрузок по умолчанию"
"Default Sample Title","Образец заголовка по умолчанию"
"Disable Guest Checkout if cart contains downloadable items","Запретить оплату без регистрации для цифровых товаров"
"Downloadable Information","Загружаемая информация"
"Downloadable Product","Цифровой товар"
"Downloadable Product Options","Опции цифрового товара"
"Downloadable product Section","Раздел цифрового товара"
"Excl. Tax","Искл. Налог"
"File","Файл"
"File does not exists","Файл не найден"
"From:","Из:"
"Gift Message","Поздравительное сообщение"
"Go to <a href=""%s"">My Downloadable Products</a>","Перейти к <a href=""%s"">Мои цифровые товары</a>"
"Guest checkout will only work with shareable",
"Incl. Tax","Искл. Налог"
"Invalid download URL host","Неверный домен ссылки для скачивания"
"Invalid download URL scheme","Неверный протокол ссылки для скачивания"
"Invalid download link type","Неправильный тип ссылки загрузки"
"Link is expired.","Ссылка просрочена."
"Link is not available.","Ссылка не доступна."
"Links can be purchased separately","Ссылки могут быть приобретены отдельно"
"Max. Downloads","Макс. Загрузки"
"Message:","Сообщение:"
"My Downloadable Products","Мои загруженные товары"
"Open Links in New Window","Открывать ссылки в новом окне"
"Order #","Заказ #"
"Order Status to enable Downloads","Order Status to enable Downloads"
"Ordered","Заказано"
"Please log in to download your product.","Войдите, чтобы загрузить ваш товар."
"Please set resource file and link type","Укажите расположение файла и тип ссылки"
"Please specify product link(s).","Укажите ссылку(и) на товар."
"Price","Цена"
"Refunded","Возвращено"
"Remaining Downloads","Остальные загрузки"
"Remove item","Удалить товар"
"Sample","Образец заголовка по умолчанию"
"Shareable","Общий"
"Shipped","Доставлено"
"Sorry, the was an error getting requested content. Please contact store owner.","Произошла ошибка при получении содержания. Пожалуйста, свяжитесь с администратором магазина."
"Sorry, there was an error getting requested content. Please contact store owner.","Произошла ошибка при получении содержания. Пожалуйста, свяжитесь с администратором магазина."
"Sort Order","Порядок сортировки"
"Start Download","Начать загрузку"
"Status","Статус"
"Title","Образец ссылки по умолчанию"
"To:","Кому:"
"U","U"
"Unlimited","Неограничено"
"View Order","Посмотреть заказ"
"attachment","вложение"
"download","загрузка"
"inline","построчно"
"sample","Образец заголовка по умолчанию"
