"Account login","Имя пользователя"
"Account password","Пароль"
"Active","Активен"
"Add Attribute Mapping","Add Attribute Mapping"
"Add New Attribute","Добавить атрибут"
"Add to Google Base","Добавить в Google Base"
"Are you sure?","Вы уверены?"
"Attribute","Атрибут"
"Attribute Set","Набор атрибутов"
"Attribute Set and Item Type","Набор атрибутов или тип товара"
"Attributes","Атрибуты"
"Attributes Set","Набор атрибутов"
"Attributes mapping","Маппинг атрибутов"
"AuthSub","AuthSub"
"Available Products","Доступные товары"
"Captcha confirmation error: %s","Код подтверждения введен неверно: %s"
"Captcha confirmed successfully","Код подтверждения введен правильно"
"Clicks","Переходов"
"ClientLogin","Вход клиента"
"Confirm","Подтвердить"
"Current Mapping will be reloaded. Continue?","Current Mapping will be reloaded. Continue?"
"Custom attribute, no mapping","Custom attribute, no mapping"
"Default Store (%s)","Магазин по умолчанию (%s)"
"Delete","Удалить"
"Delete Mapping","Удалить маппинг"
"Edit Item Type","Изменить тип товара ""%s"""
"Edit Item Type ""%s""","Изменить тип товара ""%s"""
"Error: %s","Ошибка: %s"
"Expires","Истекает"
"Germany","Германия"
"Google Base","Google Base"
"Google Base Attribute","Атрибут Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Тип товара Google Base"
"Google Base Item type","Тип товара Google Base"
"Google Base Items","Товары Google Base"
"Hide","Скрыть"
"Impr.","Улучш."
"Invalid Product Model for Google Base Item","Invalid Product Model for Google Base Item"
"Item Type was deleted","Тип пункта был удален"
"Item Types","Типы пункта"
"Item model is not specified to delete Google Base entry","Item model is not specified to delete Google Base entry"
"Item type was successfully saved","Тип товара был успешно сохранен"
"Items","Пункты"
"Manage Attribute Mapping","Управление маппингом атрибутов"
"Manage Attributes","Управление атрибутами"
"Manage Items","Управление товарами"
"New Item Type","Новый тип пункта"
"No","Нет"
"No items were deleted from Google Base","Нет товаров, удаленных из Google Base"
"No items were published","Нет опубликованных заказов"
"No items were saved as Inactive items","Нет товаров, сохраненных как «Неактивные товары»"
"No products were added to Google Base","Нет товаров, добавленных в Google Base"
"No such Item Type ""%s"" in Google Base to retrieve attributes","No such Item Type ""%s"" in Google Base to retrieve attributes"
"Object model is not specified to save Google Base entry","Object model is not specified to save Google Base entry"
"Page views","Просмотров страницы"
"Please, select Attribute Set and Google Item Type to load attributes","Выберите «Набор атрибутов» и «Тип товара Google» для загрузки атрибутов"
"Product Name","Название товара"
"Publish","Опубликовать"
"Published","Опубликованно"
"Remove","Удалить"
"Save Mapping","Save Mapping"
"Synchronize","Синхронизировать"
"Target Country","Целевая страна"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","This action will update items statistics and remove the items which are not available in Google Base. Continue?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","%d товар(ов) успешно удален(ы),  %d товар(ов) успешно обновлен(ы)"
"Total of %d items(s) were successfully published","%d товар(ов) успешно опубликован(ы)"
"Total of %d items(s) were successfully removed from Google Base","%d товар(ов) успешно удален(ы) из Google Base"
"Total of %d items(s) were successfully saved as Inactive items","%d товар(ов) успешно сохранен(ы) как «Неактивные товары»"
"Total of %d product(s) were successfully added to Google Base","%d товар(ов) успешно добавлен(ы) в Google Base"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Невозможно соединиться с Google Base. Проверьти настройки аккуанта в конфигурации."
"United Kingdom","Объединенное королевство"
"United States","Соединенные Штаты Америки"
"Update Google Base item when product is updated","Обновлять товар в Google Base при обновлении в магазине"
"View Available Products","Посмотреть доступные товары"
"View Item in Google Base","Смотреть товары в Google Base"
"Yes","Да"
