"(Make sure you keep it in a safe place.)","(Убедитесь, что храните ключ в безопасном месте.)"
"(Optional. Leave blank for no prefix)","(Опционально. Оставьте пустым, чтобы не использовать префикс)"
"(ver. %s)","(вер. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Дополнительный путь добавляемый к базовому URL для доступа к Административной Панели (например admin, backend, control и т.д.)."
"Admin Path","Admin Path"
"After successfull installation please click the button below.","После успешной установки нажмите на кнопку ниже."
"All packages were installed successfully, click 'Ok' to continue with installation","Все пакеты были установлены успешно, нажмите кнопку 'ок', чтобы продолжить установку"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","В качестве варианта, вы можете попробовать самостоятельно скачать и установить обновления."
"Base URL","Базовый URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Прежде чем продолжить, пожалуйста, сохраните информацию о вашем ключе шифрования. (Magento использует его для шифрования паролей, информации кредитных карт и т.п.)."
"Check out our","Смотрите наше"
"Check this box only if it is not possible to automatically validate Base URL.","Установите этот флажок, только если невозможно автоматически проверить Базовый URL."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Установите этот флажок, только если невозможно автоматически проверить надежность URL, к пример, если требуется HTTP авторизация"
"Choose this if you would like to test frontend and backend functionality.","Выбирайте этот метод, если хотите протестировать функциональность административной части и сайта магазина"
"Configuration","Конфигурация"
"Confirm Password","Подтвердите пароль"
"Connection","Подключение"
"Continue","Продолжить"
"Continue After Manual Download","Продолжить после ручной загрузки"
"Continue Full Download / SVN Installation","Продолжить полную / SVN установку"
"Create Admin Account","Создание учетной записи администратора"
"Currently this is the most stable state available for Magento packages.","В настоящий момент это наиболее стабильные версии доступных пакетов Magento"
"Database","База данных"
"Database Connection","Подключение к базе данных"
"Database Name","Название базы данных"
"Database connection error","Ошибка соединения с базой данных"
"Database host","Хост базы данных"
"Database server does not support InnoDB storage engine","Сервер базы данных не поддерживает InnoDB"
"Database server version does not match system requirements (required: %s, actual: %s)","Сервер базы данных не соответствует системным требованиям (требуется: %s, сейчас: %s)"
"Database user name","Имя пользователя базы данных"
"Database user password","Пароль базы даных"
"Default Currency","Валюта по умолчанию"
"Download","Загрузить"
"Download Magento Core Modules and Updates","Загрузка основных модулей Magento и их обновлений"
"Downloading and installing Magento, please wait...","Загрузка и установка Magento, Пожалуйста, подождите ..."
"Email","Email"
"Email Address","Email адрес"
"Enable this option only if you have SSL available.","Включите эту опцию, только если у вас имеется SSL"
"Encryption Key","Ключ шифрования"
"File system","Файловая система"
"First Name","Имя"
"Full Download / SVN Installation","Полностью загруженная версия / SVN установка"
"Get ready to experience Open-Source eCommerce Evolved.","Благодарим вас за использование Magento - нового Open-Source решения для электронной коммерции."
"Go to Backend","Перейти к панели администрирования"
"Go to Frontend","Перейти к домашней странице"
"Having trouble installing Magento?","Проблемы с установкой Magento?"
"Help Us to Keep Magento Healthy","Помогите сделать Magento еще лучше - сообщайте о всех ошибках"
"Host","Хост"
"I agree to the above terms and conditions","Я согласен с вышеуказанными положениями и условиями"
"If you are a developer and would like to have the latest public updates, choose this option.","Если вы являетесь разработчиком и хотели бы получать последние общедоступные обновления, выберите этот вариант."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Если вы запускаете php как cgi, ваши php процессы могут работать под одним и тем же пользователем, что и при загрузке файлов Magento на сервер."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Если вы запустили мастер установки поверх предыдуще-загруженной и установленной версией Magento, продолжайте этот метод"
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Если вы не хотите или не можете разрешить запись в каталоги вашему web-процессу, можете использовать исполняемый файл PEAR, расположенный в корневой директории установки Magento"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Если вы скачали полную версию или установили Magento через SVN, вы должны пропустить процесс установки и проверки пакетов, нажав на кнопку ниже."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Если вы хотите управлять пакетами Magento через административный web-интерфейс, вы должны иметь разрешения на запись для всех файлов и каталогов Magento"
"If your server is running on MS Windows, most probably you will not need to change anything.","Если ваш сервер работает на MS windows, скорее всего вам не потребуется что-то менять."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","В остальных случаях вам нужно будет установить разрешение на запись  файлов Magento для пользователя, от имени которого будет запущен процесс веб-сервера."
"Installation","Установка"
"Installation Guide","руководство по установке"
"Last Name","Фамилия"
"License Agreement","Лицензионное соглашение"
"Locale","Язык"
"Locale settings","Языковые настройки"
"Localization","Локализация"
"Login Information","Информация для входа"
"Magento","Magento"
"Magento Installation Wizard","Мастер установки Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento является товарным знаком Irubin Consulting Inc. DBA Varien.  Авторские права &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento использует этот ключ для шифрования паролей, информации кредитных карт и т.п. Если это поле оставить пустым, система самостоятельно создаст ключ шифрования и покажет вам его на следующей странице."
"Manual Downloads and Upgrades","Загрузка и обновление вручную"
"One from PHP Extensions ""%s"" must be loaded","Одно из PHP расширений ""%s"" должно быть загружено"
"PHP Extension ""%s"" must be loaded","PHP расширение ""%s"" должно быть загружено"
"PHP Extension '%s' loaded","Php расширение '%s' загружено"
"Package Management through the Web","Управление пакетами через интернет"
"Password","Пароль"
"Password Confirmation","Подтверждение пароля"
"Path ""%s"" must be writable","Директория ""%s"" должна иметь права на запись"
"Personal Information","Личная информация"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Пожалуйста, убедитесь в том, что <code>mod_rewrite</code> включен в Apache конфигурации."
"Please note that it is much less stable than beta.","Имейте в виду, данные обновления менее стабильные по сравнению с бета-версиями."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Имейте в виду, что в настоящее время поддерживаются только оболочки UNIX, Linux и Mac OSX. Для Windows используйте вариант '%s'."
"Please set all required settings before clicking Continue","Пожалуйста, выполните все необходимые изменения и нажмите кнопку 'Продолжить'"
"Preferred stability: %s","Желаемый уровень стабильности: %s"
"Proceed With Automatic Download (%s)","Приступить к автоматическому скачиванию (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Предоставьте полный базовый URL для SSL соединения. например: %s"
"Report All Bugs","Сообщайте обо всех ошибках"
"Required Fields","Обязательные поля"
"Run admin interface with SSL","Запуск административного интерфейса через SSL"
"Run this in your shell from Magento root folder:","Запустите это в вашей оболочке из корневой папки Magento:"
"Save session data in","Сохранять данные сессии в"
"Save session files in","Сохранять файлы сессии в"
"Secure Base URL","Базовый защищенный URL"
"Session storage options","Session storage options"
"Setting preferred state to: %s","Установить педпочитаемое состояние к: %s"
"Skip Base URL validation before next step","Пропустить проверку базового URL до следующего шага"
"Skip Secure URL validation before next step","Пропустить проверку защищенного URL до следующего шага"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Префикс таблицы должен содержать латинские буквы (a-z), цифры (0-9) или подчеркивание(_), первый символ должен быть буквой"
"Tables Prefix","Префикс названий таблиц"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Возникли проблемы с установкой пакетов Magento. Пожалуйста, прочитайте журнал (log), исправьте ошибки и повторите попытку."
"This Url is invalid","Этот URL недействителен"
"Time Zone","Часовой пояс"
"Url ""%s"" is invalid","Url ""%s"" неверный"
"Url ""%s"" is not accessible","Url ""%s"" недоступен"
"Use Secure URLs (SSL)","Использовать защищенные URL-ы (SSL)"
"Use Web Server (Apache) Rewrites","Использовать Rewrites веб-сервера (Apache)"
"User Name","Имя пользователя"
"User Password","Пароль пользователя"
"Username","Логин"
"Web access options","Настройки веб-доступа"
"Welcome to Magento's Installation Wizard","Добро пожаловать в мастер установки Magento"
