"Actions","Действия"
"Add Answer","Добавить ответ"
"Add New Answer","Добавить новый ответ"
"Add New Poll","Добавить новый опрос"
"Answer Title","Заголовок ответа"
"Answer Title:","Заголовок ответа:"
"Answer was successfully saved","Ответ был успешно сохранен"
"Answer with the same title in this poll","Ответ с таким же названием, в этом опросе"
"Are you sure you want to delete it?","Вы уверены, что хотите удалить это?"
"Assigned Answers","Присвоенные ответы"
"Closed","Закрыт"
"Community Poll","Опрос"
"Date Closed","Дата закрытия"
"Date Posted","Дата отправки"
"Delete","Удалить опрос"
"Delete Answer","Удалить ответ"
"Delete Poll","Удалить опрос"
"Disallow voting in a poll multiple times from same IP-address","Запретить несколько раз голосовать с одного  IP-адреса "
"Edit Answer '%s'","Редактировать ответ '%s'"
"Edit Poll '%s'","Редактировать опрос '%s'"
"Edit Poll Answer","Редактировать ответы опроса"
"ID","ID"
"Invalid Answer","Неправильный ответ"
"New Poll","Новый опрос"
"Number of Responses","Количество ответов"
"Open","Открыт"
"Poll Answers","Ответы опроса"
"Poll Information","Информация об опросе"
"Poll Manager","Менеджер опросов"
"Poll Question","Вопрос опроса"
"Poll information","Информация об опросе"
"Poll not exists","Опрос не существует"
"Poll with the same question","Опрос с таким же вопросом"
"Save Answer","Сохранить ответ"
"Save Poll","Сохранить опрос"
"Status","Статус"
"Unable to find answer to delete.","Не удается найти ответ для удаления."
"Visible In","Видимый в"
"Vote","Голосовать"
"Votes Count","Количество голосов"
"Votes Count:","Количество голосов:"
