"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add New Rating","Добавить новый рейтинг"
"Assigned Options","Присвоенные варианты"
"Be the first to review this product","Оставьте отзыв о продукте первым"
"Default Value","Значение по умолчанию"
"Delete Rating","Удалить рейтинг"
"Edit Rating","Редактировать рейтинг"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Будет использовано значение по умолчанию, если вы не укажете рейтинг магазина"
"Manage Ratings","Управление рейтингами"
"New Rating","Новый рейтинг"
"Option Label","Название варианта"
"Option Title","Заголовок варианта"
"Option Title:","Заголовок варианта:"
"Please select one of each ratings above","Пожалуйста, выберите один из рейтингов выше"
"Rating Information","Информация о рейтинге"
"Rating Name","Название рейтинга"
"Rating Options","Варианты рейтинга"
"Rating Title","Заголовок рейтинга"
"Rating Visibility","Видимость рейтинга"
"Rating isn't Available","Рейтинг недоступен"
"Rating with the same title","Рейтинг с тем же названием"
"Save Rating","Сохранить рейтинг"
"Visible In","Видимость "
