"Abandoned carts","Заброшенные корзины"
"Action","Действие"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить к сравнению"
"Add to Wishlist","Добавить в желаемые"
"Applied Coupon","Применяемый сертификат"
"Avg. approved rating","Средний утвержденный рейтинг"
"Avg. rating","Средний рейтинг"
"Bestsellers","Бестселлеры"
"Bought from wishlists","Куплено из списка отмеченных товаров"
"CSV","CSV"
"Carrier/Method","Перевозчик/метод"
"Carts","В корзине"
"Coupons","Купоны"
"Created at","Создано"
"Customer","Покупатель"
"Customer Name","Имя покупателя"
"Customer Tags","Метки пользователя"
"Customers","Покупатели"
"Customers Report","Отчет о пользователях"
"Customers Reviews","Отзывы покупателей"
"Customers Tags","Метки пользователей"
"Customers by number of orders","Пользователи по количеству заказов"
"Customers by orders total","Пользователи по сумме заказов"
"Customers that have wishlist: %s%","Пользователи имеющие отмеченные товары: %s%"
"Day","День"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Детали"
"Discounts","Скидки"
"Downloads","Downloads"
"Email","Email"
"Excel","Excel"
"First Name","Имя"
"Guest","Гость"
"Hits","Посещения"
"ID","ID"
"Invalid date specified","Указана неверная дата"
"Invoiced","Выставлено счетов-фактур"
"Items Ordered","Заказано товаров"
"Items in Cart","Товаров в корзине"
"Last Name","Фамилия"
"Last Review","Последний отзыв"
"Link","Ссылка"
"Low stock","Малое количество в наличии"
"Month","Месяц"
"Most Viewed","Наиболее посещаемые"
"Most viewed","Наиболее просматриваемые"
"Name","Имя"
"New Accounts","Новый аккаунты"
"Number Added","Количество добавленных"
"Number Fulfilled","Количество выполненных"
"Number Of Historical Uses","Количество из использований из истории"
"Number Of Reviews","Количество отзывов"
"Number Of Uses","Число использований"
"Number Purchased","Количество куплено"
"Number Viewed","Количество просмотрено"
"Number of Items","Количество товаров"
"Number of Ivoiced Orders","Количество выставленых счетов"
"Number of New Accounts","Количество новых учетных записей"
"Number of Orders","Количество заказов"
"Number of Refunded Orders","Количество возвращенных заказов"
"Number of Reviews","Количество отзывов"
"Number of Total Tags","Общее количество меток"
"Number of Unique Tags","Количество уникальных меток"
"Number of Views","Число просмотров"
"Number of items bought from a wishlist: %s","Количество товаров купленных из списка отмеченных товаров: %s"
"Number of times deleted","Количество раз удалено"
"Number of times wishlists have been shared (emailed): %s","Количество раз, когда список отмеченных товаров был отправлен по email: %s"
"Number of wishlist conversions: %s","Количество переходов к списку отмеченных товаров: %s"
"Number of wishlist referrals: %s","Количество рефералов полученных через список отмеченных товаров: %s"
"Number of wishlists: %s","Количество списков с отмеченными товарами: %s"
"Offline Refunded","Возвращено offline"
"Online Refunded","Возвращено через интернет"
"Orders","Заказы"
"Out of stock","Нет в наличии"
"Poducts Report","Отчет о товарах"
"Popular Tags","Популярные тэги"
"Popularity","Популярность"
"Price","Цена"
"Product Name","Название продукта"
"Product Reviews","Отзывы о продукте"
"Product Sku","SKU товара"
"Product Tags","Тэги продукта"
"Products","Продукты"
"Products Report","Отчет о товарах"
"Products Reviews","Отзывы о продуктах"
"Products Tags","Метки товаров"
"Products in carts","Товары в корзинах"
"Purchases","Покупки"
"Quantity Ordered","Заказанное количество"
"Quantity of Items","Количество товаров"
"Rate","Rate"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed Products","Recently Viewed Products"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Refunded","Возвращено"
"Reports","Отчеты"
"Results","Результаты"
"Revenue","Доход"
"Review","Отзыв"
"Reviews","Отзывы"
"Reviews for %s","Reviews for %s"
"Sales","Продажи"
"Sales Report","Отчет о продажах"
"Search Terms","Поисковые запросы"
"Shipping","Доставка"
"Shopping Cart","Корзина доставки"
"Show for Current","Показать для текущего"
"Stock Qty","Количество в наличии"
"Submitted In","Принято"
"Submitted On","Отправлено"
"Subtotal","Подитог"
"Tag","Тэг"
"Tag ""%s"" details","Подробности метки ""%s"
"Tag Detail","Подробности метки"
"Tag Name","Имя тэга"
"Tag use","Использование метки"
"Tags submited by %s","Метки,отправленные %s"
"Tags submitted to %s","Метки, отправленные для %s"
"Tax","Налог"
"Tax Amount","Всего налог"
"Title","Название"
"Total","Всего"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Всего возвращено"
"Total Shipping","Всего по доставке"
"Total Tags","Всего меток"
"Total invoiced","Всего платежей"
"Total refunded","Все возвраты"
"Updated at","Обновлено"
"Visible In","Visible In"
"Wishlist Report","Отчет о списке отмеченных товаров"
"Wishlist vs. Regular Order","Зависимость списка отмеченных товаров с регулярными заказами"
"Wishlists","Список отмеченных товаров"
"Year","Год"
"Your Recently Compared","Предыдущие сравнения"
"Your Recently Viewed","Your Recently Viewed"
