" The customer doesn\'t exist in the system anymore","Покупатель более не зарегистрирован в системе"
"""%s"" coupon code is not valid.","Код купона ""%s"" некорректен."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s для %s"
"%s order(s) successfully canceled","%s заказ(ов) отменен(о)"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","О заказе:"
"About Your Order","О вашем заказе"
"Account Information","Информация об учетной записи"
"Action","Действие"
"Actions","Действия "
"Add","Добавить"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","Добавить новый адрес"
"Add Order Comments","Добавить комментарии к заказу"
"Add Products","Добавить продукты"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","Добавить выбранные продукт(ы) в заказ"
"Add To Order","Добавить в заказ"
"Add Tracking Number","Добавить номер отслеживания"
"Add a gift message for <strong>each gift item</strong>","Добавить подарочное сообщение для <strong> каждого подарочного товара</strong>"
"Add a gift message for the <strong>entire order</strong>","Добавить подарочное сообщение для <strong>всего заказа</strong>"
"Add comment to order","Добавить комментарий к заказу"
"Add new comment to shipment","Добавит ьновый комментарий к отправлению"
"Add new tracking number","Добавить новый номер отслеживания"
"Add to Cart","Добавить в корзину"
"Address","Адрес"
"Adjustment Fee","Корректировка оплаты"
"Adjustment Fee:","Корректировка оплаты:"
"Adjustment Refund","Корректировка возврата"
"Adjustment Refund:","Корректировка возврата:"
"Allow Reorder","Разрешить перезаказ"
"Amount","Сумма"
"Append Comments","Добавить комментарии"
"Apply","Применить"
"Apply Coupon Code","Применить код сертификата"
"Are you sure you want to cancel this order?","Вы уверены, что хотите отменить этот заказ?"
"Are you sure?","Вы уверены?"
"Are you sure? This order will be cancelled and a new one will be created instead","Вы уверены? Этот заказ будет отменен, а вместо него будет создан новый"
"Back to My Orders","Вернуться в мои заказы"
"Backordered","Backordered"
"Bill to First name","Оплачено на имя"
"Bill to Last name","Оплачено на фамилию"
"Bill to Name","Оплата на имя"
"Billing Address","Billing Address"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","Can not add order history."
