"Actions","Actions"
"Active","Active"
"Add New Rule","Add New Rule"
"Apply","Apply"
"Apply the rule only if the following conditions are met (leave blank for all products)","Применить правило, только если выполняются следующие условия (оставьте пустым для всех товаров)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Применить правило только для товаров в корзине, удовлетворяющим следующим условиям (оставьте пустым для всех товаров)"
"Apply the rule to cart items matching the following conditions","Применить правило к товарам в корзине, соответствующим следующим условиям"
"Apply to","Применить к"
"Buy X get Y free (discount amount is Y)","Купи X получи Y бесплатно (сумма скидки Y)"
"By Fixed Amount","На фиксированную сумму"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"By Percentage of the original price","На процент от первоначальной цены"
"Cart Attribute","Атрибут корзины"
"Catalog","Catalog"
"Conditions","Conditions"
"Conditions combination","Комбинация условий"
"Coupon Code","Код сертификата"
"Coupon code","Код сертификата"
"Customer Groups","Customer Groups"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Discount Qty Step (Buy X)","Шаг количества для скидки (купить X)"
"Discount amount","Размер скидки"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Expire at: %s","Expire at: %s"
"Fixed amount discount","Фиксированная сумма скидки"
"Fixed amount discount for whole cart","Фиксированная сумма скидки на всю корзину"
"For matching items only","Только для соответствующих товаров"
"For shipment with matching items","Для доставки с соответствующими товарами"
"Free shipping","Free shipping"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"Maximum Qty Discount is Applied to","Максимальное количество скидки применяется к"
"NOT LOGGED IN","NOT LOGGED IN"
"Name: %s","Name: %s"
"New Rule","New Rule"
"No","No"
"Payment Method","Payment Method"
"Percent of product price discount","Скидка в процентах от цены продукта"
"Price in cart","Цена в корзине"
"Priority","Priority"
"Product attribute combination","Комбинация атрибутов продукта"
"Products subselection","Products subselection"
"Promotions","Promotions"
"Public In RSS Feed","Опубликовать в RSS потоке"
"Quantity in cart","Количество в корзине"
"Row total in cart","Количество позиций в корзине"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Save Rule","Save Rule"
"Shipping Country","Страна доставки"
"Shipping Method","Shipping Method"
"Shipping Postcode","Индекс доставки"
"Shipping Region","Регион доставки"
"Shipping State/Province","Штат/район доставки"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Ценовые правила для корзины"
"Special price","Специальная цена"
"Start at: %s","Start at: %s"
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This rule no longer exists","This rule no longer exists"
"To Date","To Date"
"To Fixed Amount","К фиксированной сумме"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"To Percentage of the original price","К проценту от первоначальной цены"
"Total Items Quantity","Общее количество товаров"
"Total Weight","Общий вес"
"Unable to find a page to delete","Unable to find a page to delete"
"Update prices using the following information","Обновить цены, используя следующую информацию"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Update the Product"
"Uses per coupon","Изспользований с сертификатом"
"Uses per customer","Использований пользователями"
"Yes","Yes"
